id,category_id,supplier_id,name,price,cost_price,stock_quantity,created_at
1,6,1,ワイヤレスゲーミングマウス RGB,5980,3200,45,2023-01-10 12:00:00
2,6,1,メカニカルキーボード テンキーレス 青軸,12800,7500,28,2023-01-12 15:30:00
3,6,1,ウルトラワイドモニター 34インチ,49800,32000,12,2023-01-15 09:00:00
4,7,6,ノイズキャンセリング完全ワイヤレスイヤホン,18500,11000,50,2023-02-01 10:00:00
5,7,6,Bluetooth ポータブルスピーカー 防水,7980,4200,35,2023-02-15 14:20:00
6,8,2,オーガニックコットン ヘビーウェイトTシャツ,3980,1500,120,2023-03-01 11:00:00
7,8,2,ストレッチスリムフィットチノパン,6480,2800,60,2023-03-10 16:40:00
8,9,2,シフォンフレアロングスカート,5980,2400,40,2023-03-15 13:10:00
9,9,2,カシミヤブレンド クルーネックニット,9800,4500,25,2023-04-01 10:30:00
10,3,3,スペシャルティ自家焙煎コーヒー豆 500g,2480,1100,80,2023-04-10 12:00:00
11,3,3,国産有機エクストラバージンオリーブオイル,1980,950,65,2023-04-20 15:00:00
12,4,4,SQL実践入門 - 高速クエリの極意,3080,1800,90,2023-05-01 09:30:00
13,4,4,実践Pythonデータ分析実践ガイド,3520,2100,75,2023-05-10 17:00:00
14,5,5,北欧デザイン アロマディフューザー,4600,2200,30,2023-06-01 14:00:00
15,5,5,エルゴノミック低反発デスクチェアクッション,3800,1700,40,2023-06-15 11:30:00
16,6,,USB-C 多機能10-in-1 ハブ,6200,3100,55,2023-07-01 10:00:00
17,7,,ハイレゾ対応 有線スタジオモニターヘッドホン,15800,8900,18,2023-07-20 16:00:00
18,,,クラシックレザーノート A5 無地,1800,700,100,2023-08-01 12:00:00
19,1,1,スマートホーム温湿度センサー WiFi対応,2980,1400,50,2023-08-15 09:00:00
20,5,5,ミニマリスト調光LEDデスクライト,5400,2600,20,2023-09-01 13:00:00
