id,user_id,coupon_id,order_date,status,shipping_fee,total_amount
1,1,1,2023-01-20 14:25:00,shipped,500,18280
2,2,,2023-02-14 18:30:00,shipped,0,18500
3,3,,2023-03-05 11:10:00,shipped,500,6480
4,4,2,2023-03-25 19:40:00,shipped,0,8820
5,1,,2023-04-12 09:15:00,shipped,500,2980
6,5,,2023-04-22 16:50:00,shipped,500,4480
7,6,,2023-05-08 12:00:00,cancelled,500,0
8,7,3,2023-05-25 21:30:00,shipped,0,5480
9,8,,2023-06-10 15:20:00,shipped,500,7080
10,2,2,2023-07-05 10:15:00,shipped,0,16650
11,9,,2023-07-18 14:00:00,shipped,500,6480
12,10,,2023-08-02 08:30:00,shipped,0,12800
13,11,,2023-08-20 17:45:00,shipped,500,2480
14,3,3,2023-09-12 13:20:00,shipped,0,3080
15,12,,2023-09-28 20:00:00,refunded,500,4460
16,13,3,2023-10-05 11:30:00,shipped,500,6600
17,1,4,2023-12-10 16:10:00,shipped,0,42330
18,14,,2023-12-18 19:00:00,shipped,500,3520
19,15,4,2023-12-25 22:15:00,shipped,0,21080
20,4,,2024-01-08 10:45:00,shipped,500,5980
21,16,,2024-01-15 14:30:00,shipped,500,7980
22,2,,2024-01-22 18:20:00,paid,0,49800
23,17,,2024-02-01 12:10:00,paid,500,2480
24,18,,2024-02-14 16:40:00,pending,500,9800
25,19,,2024-02-20 11:00:00,paid,0,13160
26,20,,2024-02-25 15:30:00,pending,500,3980
27,1,,2024-03-02 09:40:00,paid,500,3080
28,3,,2024-03-10 17:15:00,paid,0,18500
29,7,,2024-03-18 20:50:00,paid,500,6200
30,10,3,2024-03-25 13:00:00,paid,0,5980
